article_name,article_link
"Parents Are Sharing The Wildest Ways Their Kids Have Embarrassed Them In Public, And OMG, I'm Never Having Kids",https://www.buzzfeed.com/hannahdobro/kids-embarrassing-their-parents?origin=web-hf
"Kim Kardashian Accused Kourtney Kardashian Of Constantly ""Degrading"" Her Staff After A Brutal Confrontation With A Nanny Less Than Two Years After One Quit Over Her Kids' Behavior",https://www.buzzfeednews.com/article/elliewoodward/kim-kardashian-accused-kourtney-kardashian-degrading-nanny?origin=web-hf
"If You Haven't Seen At Least 10 Of These Sitcoms, You're Either Really Young Or Really Uncultured",https://www.buzzfeed.com/hannahmarder/we-know-your-age-based-on-the-sitcoms-youve-seen?origin=web-hf
12 Wild Career Transformations That Prove You're Not Stuck With Your Job,https://www.buzzfeed.com/meganeliscomb/career-path-changes-flipped?origin=web-hf
What's One Dish From Your Culture That You Can't Live Without?,https://www.buzzfeed.com/joshbone123/whats-one-dish-from-your-culture-that-you-cant-live-without
15 AAPI Feminists To Know,https://www.buzzfeed.com/claratsacwang/15-aapi-feminists-to-know?origin=web-hf
Build A K-Pop Group And We'll Give You A Position That You'd Best Fit,https://www.buzzfeed.com/just1your2local7elfzen/this-quiz-can-tell-you-what-your-position-would-be-bdx2ui0lfx?origin=web-hf
"I Personally Think These TV Couples Are Toxic AF, But What Do You Think?",https://www.buzzfeed.com/tayyy_10/tell-me-if-you-think-these-tv-show-couples-are-tox-3d54bc6hyr?origin=web-hf
"Design Your Ideal Apartment And We'll Tell You Which ""Friends"" Character Should Be Your Roommate",https://www.buzzfeed.com/sumedha_bharpilania/friends-character-home-decor-quiz?origin=web-hf
"Here Are Some Popular Marvel Characters And Cute Animals, But It's Time To Choose Between Them",https://www.buzzfeed.com/neon_dreams/would-you-rather-rescue-these-marvel-characters-or-dt07rphhv?origin=web-hf
"15 ""WandaVision"" Jokes You'll Only Understand If You're A Massive Jimmy Woo Fan",https://www.buzzfeed.com/jenniferabidor/jimmy-woo-appreciation-post?origin=web-hf
Build An Ice Cream Sundae And We'll Reveal With 94% Accuracy Your Future Spouse's Zodiac Sign,https://www.buzzfeed.com/sydneypardoo/build-a-sundae-and-ill-tell-you-what-sign-youll-2wzqv3mqmk?origin=web-hf
"Aespa Releases New Single ""Next Level,"" And 5 Other K-Pop Stories You Need To Read",https://www.buzzfeed.com/emlyntravis/bts-shares-the-meaning-behind-new-single-butter-and-5-other?origin=web-hf
Plan Your Ideal Destination Wedding To Find Out Which Singer You'll Walk Down The Aisle To,https://www.buzzfeed.com/cierrajones/dream-destintion-wedding-singer?origin=web-hf
30 Kitchen Products From Amazon That Thousands Of Reviewers Think Are Worth Their Price Tag,https://www.buzzfeed.com/samantharayjacobson/well-reviewed-amazon-kitchen-products?origin=web-hf
"Every Single Grand Finalist In This Year's ""Eurovision"" Ranked According To Their Brilliance",https://www.buzzfeed.com/sam_cleal/eurovision-2021-entries-ranked?origin=web-hf
People On TikTok Are Obsessed With This Woman's Ability To Paint Iconic Characters On Nails,https://www.buzzfeed.com/andriamoore/viral-nail-artist-on-tiktok?origin=web-hf
Prince Harry Told Oprah That Meghan Markle Didn't Kill Herself Because She Didn't Want Him To Lose Another Woman He Loved,https://www.buzzfeednews.com/article/ellievhall/prince-harry-oprah-meghan-markle-interview-revelation?origin=web-hf
40 Low-Maintenance Items That'll Have You Looking Stylish In Seconds,https://www.buzzfeed.com/anamariaglavan/stylish-things-to-help-you-get-ready-quickly?origin=web-hf
25 Pairs Of Leggings That Reviewers Truly Love,https://www.buzzfeed.com/kaylasuazo/pairs-of-leggings-reviewers-love?origin=web-hf
Jot's Ultra Coffee Is So Good That I'm Pretty Sure My Body Is 90% Iced Coffee,https://www.buzzfeed.com/melanie_aman/jot-ultra-coffee-concentrate-review?origin=web-hf
"Prince Harry Told Oprah That Meeting Meghan Markle Made Him Realize He Had To ""Fix Himself""",https://www.buzzfeednews.com/article/ellievhall/prince-harry-oprah-meghan-markle-mental-health?origin=web-hf
42 Things You Didn’t Know You Needed Until You Clicked This Post,https://www.buzzfeed.com/austinwilliams/things-you-didnt-know-you-needed-until-you-clicked-this?origin=web-hf
Backcountry Is Having A Memorial Day Sale Just In Time For You To Head Outdoors,https://www.buzzfeed.com/averyfelman/backcountry-memorial-day-sale?origin=web-hf
"People Are Sharing The Movie Endings They Despise, And I May Not Agree But I Understand",https://www.buzzfeed.com/hopelasater/movie-endings-people-hate-part-two?origin=web-hf
30 Pieces Of Clothing And Accessories Under $50 From Amazon That Have Thousands Of 5-Star Reviews,https://www.buzzfeed.com/stephaniehope/well-reviewed-pieces-of-clothing-on-amazon?origin=web-hf
"Doctors Are Sharing The One Medical Fact They Wish Everyone Knew, And All Should Be Required Reading",https://www.buzzfeed.com/hannahloewentheil/doctors-sharing-facts-they-wish-patients-knew?origin=web-hf
"Alleged Capitol Rioters Are Telling Judges They Shouldn't Be Tried In DC Because Of ""Cancel Culture""",https://www.buzzfeednews.com/article/zoetillman/capitol-riot-cases-dc-venue-cancel-culture?origin=web-hf
"15 Times ""Glee"" Actually Did A Really Good Job Handling Serious Subjects",https://www.buzzfeed.com/ajanibazile/hard-topics-glee-handled-well?origin=web-hf
15 Beggars Who Decided To Be Choosers,https://www.buzzfeed.com/daniellaemanuel/reddit-choosy-beggars?origin=web-hf
Right-Wing Extremists Set Up A Planning Meeting Ahead Of The Capitol Riot In January,https://www.buzzfeednews.com/article/kenbensinger/new-jersey-oath-keeper-charged-capitol-riot?origin=web-hf
Princes William And Harry Blasted The Media After Damning Revelations About A Princess Diana Interview,https://www.buzzfeednews.com/article/ellievhall/prince-william-harry-diana-interview-bbc-bashir?origin=web-hf
"Kim Kardashian Revealed That Saint Had COVID-19 On ""Keeping Up With The Kardashians""",https://www.buzzfeed.com/joyannjeffrey/kim-kardashian-son-saint-covid-19?origin=web-hf
"10 Differences Between Hawaii And The Rest Of The United States, According To Someone Who Grew Up There",https://www.buzzfeed.com/andriamoore/hawaiin-woman-on-life-in-hawaii?origin=web-hf
"A Reporter ""Deceived"" Princess Diana's Family To Score An Explosive Interview And The BBC Covered It Up",https://www.buzzfeednews.com/article/ellievhall/princess-diana-interview-bbc-martin-bashir-inquiry-report?origin=web-hf
19 Things That Are Normalized By Society But People Think Are Really Just Big Scams,https://www.buzzfeed.com/briangalindo/people-are-sharing-normal-things-that-they-consider-big?origin=web-hf
"Lady Gaga Opened Up About Having A ""Psychotic Break"" After Being Sexually Assaulted At 19",https://www.buzzfeed.com/larryfitzmaurice/lady-gaga-psychotic-break-sexual-assault?origin=web-hf
"An Australian Teacher Is Explaining Why Americans Drop The ""U"" From So Many Words And It's Brilliant",https://www.buzzfeed.com/juliawilling/why-americans-spell-words-differently?origin=web-hf
22 Celebrities Who Hold Prestigious College Degrees,https://www.buzzfeed.com/kristenharris1/celebrities-prestigious-college-degrees?origin=web-hf
"Federal Officials Seized 69 Animals From Jeff Lowe's ""Tiger King"" Park",https://www.buzzfeednews.com/article/clarissajanlim/tiger-king-park-jeff-lauren-lowe-animals-seized?origin=web-hf
"Some Fans Were Confused By This Teen Magazine's Interview With BTS Member RM. Turns Out, It Never Happened.",https://www.buzzfeednews.com/article/ikrd/bts-interview-total-girl?origin=web-hf
"Plan A ""Hot Girl Summer"" And We'll Reveal Your Summer Relationship Status",https://www.buzzfeed.com/evomg/plan-a-hot-girl-summer-and-well-reveal-if-youre-bfzy4msd30?origin=web-hf
"Chris Evans Revealed How He Adopted Dog Dodger When He Had ""No Intention"" Of Owning A Pet",https://www.buzzfeed.com/joyannjeffrey/chris-evans-national-rescue-dog-day-dodger?origin=web-hf
You've Obviously Destined To Get Engaged During A Certain Month Of The Year — Design An All-Pink Wedding To Find Out Which One,https://www.buzzfeed.com/shelbyheinrich/pink-wedding-engaged?origin=web-hf
"46 Couples Who Were Dating Exactly 20 Years Ago Who Definitely Aren't Right Now, And 18 Couples Who Somehow Still Are",https://www.buzzfeed.com/mjs538/couples-who-were-dating-exactly-20-years-ago?origin=web-hf
Design A Timeless House And We'll Reveal Which Decade You Truly Belong To,https://www.buzzfeed.com/milk_hater/design-a-home-to-find-out-which-decade-you-really-8ivyo4ndz2?origin=web-hf
"If You Can't Pass This ""True Or False"" Harry Potter Quiz You're Definitely A Muggle",https://www.buzzfeed.com/queenomisha/only-a-muggle-would-fail-this-tf-harry-potter-qui-7tr5nj5pbo?origin=web-hf
Here Are 72 Songs — Tell Us Which You Recognize And We'll Guess Your Age,https://www.buzzfeed.com/audreyworboys/guess-your-age-music-quiz?origin=web-hf
"Namina Forna’s Feminist Fantasy Novel ""The Gilded Ones"" Shines A Spotlight On Femme Oppression",https://www.buzzfeednews.com/article/farrahpenn/namina-forna-feminist-fantasy-novel-the-gilded-ones?origin=web-hf
41 Must-Have Products For Anyone Who Just Moved,https://www.buzzfeed.com/hbraga/products-for-anyone-who-just-moved?origin=web-hf
Be Brutally Honest About These Wedding Dresses To Reveal A Highly Specific Prediction About Your Future Wedding,https://www.buzzfeed.com/kristenharris1/rate-wedding-dresses?origin=web-hf
These TikToks Showing Billions Of Cicadas Emerging After 17 Years Are High-Key Shudder-Inducing,https://www.buzzfeed.com/farrahpenn/cicada-season-2021-brood-x-tiktok?origin=web-hf
Here's What Jennifer Garner And 14 Other Celebrities Shared This Week For #TBT,https://www.buzzfeed.com/briangalindo/celeb-tbt-photos-may-20-2021?origin=web-hf
"Demi Lovato Explained Why They ""Suppressed"" Their True Self For So Long",https://www.buzzfeed.com/alexgurley/demi-lovato-queer-identity-suppressed?origin=web-hf
18 Roles Amy Adams Should’ve Won An Academy Award For...But Didn’t,https://www.buzzfeed.com/thechloewilliams/amy-adams-oscar-snubs?origin=web-hf
15 Anti-Vaxxers Who Were Roasted Within An Inch Of Their Lives — And Rightfully So,https://www.buzzfeed.com/daniellaemanuel/anti-vaxxers-roasted-internet?origin=web-hf
31 Splurge-Worthy Things From Wayfair That Already Have Hundreds Of 5-Star Reviews For A Reason,https://www.buzzfeed.com/laurengragson/well-reviewed-splurge-worthy-things-from-wayfair?origin=web-hf
"Olivia Rodrigo Said She ""Completely Understands"" Speculation Over Her Private Life After She Released ""Drivers License""",https://www.buzzfeednews.com/article/benhenry/olivia-rodrigo-drivers-license-blonde-girl-lyrics?origin=web-hf
"I Work In The Fast-Food Industry And, Honestly, You Need To Hear These 16 Wild Stories",https://www.buzzfeed.com/kaleb_mayer/14-of-my-craziest-experiences-working-in-fast-food-er9r8ciqbc?origin=web-hf
Karlie Kloss Revealed Son Levi Gave Her A Mother's Day Gift When She Shared Never-Before-Seen Pics Of Her Pregnancy,https://www.buzzfeed.com/joyannjeffrey/karlie-kloss-never-before-seen-pregnancy-pics?origin=web-hf
People Are Ready To Log Off Social Media For Good,https://www.buzzfeednews.com/article/shannonkeating/covid-delete-facebook-instagram-social-media?origin=web-hf
Are You A Secret Adult?,https://www.buzzfeed.com/joannaborns/secret-adult-quiz?origin=web-hf
25 Products From Amazon That'll Actually Keep Your Kitchen Appliances Clean,https://www.buzzfeed.com/morasage/amazon-products-keep-kitchen-appliances-clean?origin=web-hf
"Kendall Jenner Opened Up About How She ""Physically Can't Get Out Of Bed"" Because Of Anxiety And How Her Mom And Manager, Kris Jenner, Handles It",https://www.buzzfeed.com/natashajokic1/kendall-jenner-kris-jenner-anxiety?origin=web-hf
These 35 Household Upgrades Will Make You Say “I’m An Adult”,https://www.buzzfeed.com/jasminnina/household-upgrades-will-make-you-say-im-an-adult?origin=web-hf
Let's Decide Once And For All Whether These 2000s Trends Are Worth Reviving,https://www.buzzfeed.com/tessafahey/2000s-fashion-hot-not-poll?origin=web-hf
"Angelina Jolie Covered Herself In Bees, And I'm Having A Hard Time Just Looking At It",https://www.buzzfeed.com/alexgurley/angelina-jolie-covered-by-bees?origin=web-hf
Here Are 45 Movies Coming Out This Summer That Are Totally Worth Your Time,https://www.buzzfeed.com/noradominick/movies-summer-2021?origin=web-hf
31 Splurge-Worthy Things From Target That’ll Make A Huge Difference In Your Home,https://www.buzzfeed.com/juliamitchem/splurge-worthy-things-from-target?origin=web-hf
"Renée Elise Goldsberry Is The Best Part Of ""Girls5Eva,"" And Here Are 17 Moments That Prove It",https://www.buzzfeed.com/angelicaamartinez/renee-elise-goldsberry-girls5eva-wickie?origin=web-hf
"I Tried Jennifer Lopez's Workout Routine For A Week, And Not To Be Dramatic, But Damn",https://www.buzzfeed.com/fabianabuontempo/jennifer-lopez-workout-routine-review?origin=web-hf
Can You Get 100% On This Super Easy Periodic Table Quiz?,https://www.buzzfeed.com/cierrajones/chemistry-quiz?origin=web-hf
